"Municipio","Ponto","Ambiente","Data","Ano","Especie","Estagio","Sexo","Lat","Long"
"Porto Velho","R2","Rural","08/08/2017",2017,"Amblyomma naponense","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","08/08/2017",2017,"Amblyomma naponense","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","08/08/2017",2017,"Amblyomma naponense","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","08/08/2017",2017,"Amblyomma naponense","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","08/08/2017",2017,"Amblyomma naponense","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","08/08/2017",2017,"Amblyomma naponense","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","08/08/2017",2017,"Amblyomma naponense","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","08/08/2017",2017,"Amblyomma naponense","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma naponense","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma naponense","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R2","Rural","10/08/2017",2017,"Amblyomma naponense","Ninfa","Nao definido",-8.688419444,-63.67775833
"Porto Velho","R3","Rural","08/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.8383,-63.85971389
"Porto Velho","R3","Rural","08/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.8383,-63.85971389
"Porto Velho","R3","Rural","08/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.8383,-63.85971389
"Porto Velho","R3","Rural","08/08/2017",2017,"Amblyomma coelebs","Ninfa","Nao definido",-8.8383,-63.85971389
